"ht" "circ" "bloc" "clone"
"353" 20.75 42 "1" "18-232"
"354" 20.75 42 "1" "18-232"
"355" 20.5 42 "1" "18-232"
"358" 19.25 39 "1" "18-232"
"359" 14.75 31 "1" "18-232"
"360" 20.75 45 "1" "18-232"
"361" 19.75 42 "1" "18-233"
"362" 20 41 "1" "18-233"
"363" 19.75 41 "1" "18-233"
"364" 19.75 42 "1" "18-233"
"365" 19.75 43 "1" "18-233"
"367" 18.5 36 "1" "18-233"
"368" 19.5 42 "1" "18-233"
"370" 18.75 36 "1" "18-234"
"373" 19.75 39 "1" "18-234"
"374" 21.25 47 "1" "18-234"
"375" 21 46 "1" "18-234"
"376" 18.5 35 "1" "18-234"
"377" 20.75 43 "1" "18-234"
"379" 20 42 "1" "18-235"
"380" 19.25 39 "1" "18-235"
"381" 19.5 43 "1" "18-235"
"382" 14.5 29 "1" "18-235"
"384" 20 47 "1" "18-235"
"385" 21.5 46 "1" "18-235"
"386" 22.25 50 "1" "18-235"
"387" 16 32 "1" "18-235"
"388" 21.25 52 "1" "18-236"
"389" 22.25 58 "1" "18-236"
"390" 22.5 54 "1" "18-236"
"391" 21.5 51 "1" "18-236"
"392" 22.75 54 "1" "18-236"
"393" 21.25 53 "1" "18-236"
"394" 20.5 49 "1" "18-236"
"395" 22.25 55 "1" "18-236"
"396" 21.25 57 "1" "18-236"
"397" 11.25 26 "1" "18-240"
"398" 20.5 53 "1" "18-240"
"399" 19.25 47 "1" "18-240"
"400" 17.75 42 "1" "18-240"
"401" 19.5 45 "1" "18-240"
"403" 13.75 31 "1" "18-240"
"404" 16.75 39 "1" "18-240"
"406" 14 27 "1" "18-242"
"407" 16.5 33 "1" "18-242"
"408" 19.5 40 "1" "18-242"
"410" 14 26 "1" "18-242"
"413" 15 28 "1" "18-242"
"415" 16.75 34 "1" "18-244"
"416" 19.75 44 "1" "18-244"
"417" 20.75 45 "1" "18-244"
"418" 21 55 "1" "18-244"
"419" 20.5 45 "1" "18-244"
"420" 19.75 41 "1" "18-244"
"421" 15.25 33 "1" "18-244"
"422" 18.5 39 "1" "18-244"
"423" 20 44 "1" "18-244"
"424" 21.5 53 "1" "18-245"
"425" 22.75 58 "1" "18-245"
"426" 23 59 "1" "18-245"
"427" 22.25 55 "1" "18-245"
"428" 21.75 50 "1" "18-245"
"429" 22.25 53 "1" "18-245"
"430" 22 55 "1" "18-245"
"431" 22.5 54 "1" "18-245"
"432" 21.75 53 "1" "18-245"
"435" 19 37 "1" "18-246"
"438" 21.75 52 "1" "18-246"
"441" 20.75 47 "1" "18-246"
"442" 22 46 "1" "18-247"
"443" 20.25 41 "1" "18-247"
"444" 19.75 40 "1" "18-247"
"445" 22 48 "1" "18-247"
"446" 20.25 45 "1" "18-247"
"447" 19.25 40 "1" "18-247"
"448" 22.25 47 "1" "18-247"
"449" 21.25 45 "1" "18-247"
"450" 19.75 39 "1" "18-247"
"451" 22.5 55 "1" "18-248"
"452" 22.75 56 "1" "18-248"
"453" 21.75 51 "1" "18-248"
"454" 20.75 44 "1" "18-248"
"455" 23.75 52 "1" "18-248"
"456" 20.25 39 "1" "18-248"
"457" 22.75 60 "1" "18-248"
"459" 21.75 49 "1" "18-248"
"460" 19 46 "1" "18-249"
"461" 21 57 "1" "18-249"
"462" 19.75 49 "1" "18-249"
"464" 21.25 56 "1" "18-249"
"467" 22 56 "1" "18-249"
"468" 16.25 35 "1" "18-249"
"469" 17.5 35 "1" "18-250"
"470" 18.25 37 "1" "18-250"
"471" 18 35 "1" "18-250"
"472" 22 50 "1" "18-250"
"473" 20.75 44 "1" "18-250"
"474" 21.25 45 "1" "18-250"
"475" 21.25 45 "1" "18-250"
"476" 21.5 40 "1" "18-250"
"477" 20.75 38 "1" "18-250"
"478" 16.75 35 "1" "18-253"
"479" 19.25 43 "1" "18-253"
"480" 15.75 32 "1" "18-253"
"483" 17.25 35 "1" "18-253"
"486" 17.25 36 "1" "18-253"
"505" 18.25 36 "1" "18-263"
"506" 20.75 47 "1" "18-263"
"507" 16.75 34 "1" "18-263"
"509" 17.5 34 "1" "18-263"
"510" 15.25 28 "1" "18-263"
"511" 20.75 44 "1" "18-263"
"512" 19.75 43 "1" "18-263"
"513" 17.25 36 "1" "18-263"
"514" 21.25 44 "1" "18-273"
"515" 21.5 44 "1" "18-273"
"516" 20.75 42 "1" "18-273"
"517" 18.75 36 "1" "18-273"
"518" 19.25 36 "1" "18-273"
"519" 20.75 44 "1" "18-273"
"521" 20.75 48 "1" "18-273"
"522" 20.75 45 "1" "18-273"
"523" 23.5 55 "1" "18-275"
"524" 23.25 48 "1" "18-275"
"525" 18 35 "1" "18-275"
"526" 16.5 35 "1" "18-275"
"527" 24.75 55 "1" "18-275"
"528" 17.75 32 "1" "18-275"
"529" 23.75 47 "1" "18-275"
"530" 24.25 51 "1" "18-275"
"531" 17.25 31 "1" "18-275"
"532" 17 34 "1" "18-276"
"533" 19.5 40 "1" "18-276"
"534" 18 37 "1" "18-276"
"535" 15.75 29 "1" "18-276"
"536" 19.25 41 "1" "18-276"
"537" 19.75 43 "1" "18-276"
"542" 18.5 42 "1" "18-277"
"543" 19 43 "1" "18-277"
"544" 20.25 43 "1" "18-277"
"545" 22.75 54 "1" "18-277"
"546" 21.75 46 "1" "18-277"
"548" 20.75 48 "1" "18-277"
"549" 20.75 44 "1" "18-277"
"550" 21.5 48 "1" "18-278"
"551" 22 48 "1" "18-278"
"552" 21 41 "1" "18-278"
"553" 16.25 38 "1" "18-278"
"554" 22 52 "1" "18-278"
"555" 21 47 "1" "18-278"
"557" 21.5 51 "1" "18-278"
"558" 21 45 "1" "18-278"
"559" 18 41 "1" "18-279"
"560" 20.5 47 "1" "18-279"
"561" 21.25 53 "1" "18-279"
"562" 20.5 49 "1" "18-279"
"563" 17.25 33 "1" "18-279"
"564" 19.25 43 "1" "18-279"
"567" 18.75 38 "1" "18-279"
"568" 20 42 "1" "18-282"
"569" 21 43 "1" "18-282"
"570" 19 41 "1" "18-282"
"571" 19 37 "1" "18-282"
"572" 21 49 "1" "18-282"
"576" 20.25 45 "1" "18-282"
"577" 20 43 "1" "18-283"
"579" 21.75 58 "1" "18-283"
"580" 19.5 42 "1" "18-283"
"581" 20.5 49 "1" "18-283"
"582" 19.75 48 "1" "18-283"
"583" 20.75 49 "1" "18-283"
"584" 20.75 53 "1" "18-283"
"585" 19 45 "1" "18-283"
"586" 20 51 "1" "18-284"
"587" 19.75 53 "1" "18-284"
"588" 18.75 45 "1" "18-284"
"589" 19.25 41 "1" "18-284"
"590" 20.5 44 "1" "18-284"
"591" 19.25 44 "1" "18-284"
"592" 19.25 43 "1" "18-284"
"593" 19.75 50 "1" "18-284"
"594" 19.75 43 "1" "18-284"
"595" 19.25 40 "1" "18-285"
"596" 20.5 42 "1" "18-285"
"597" 18.25 35 "1" "18-285"
"598" 17 33 "1" "18-285"
"599" 21 46 "1" "18-285"
"600" 20 41 "1" "18-285"
"601" 17.75 38 "1" "18-285"
"602" 15.75 33 "1" "18-285"
"603" 18.75 37 "1" "18-285"
"605" 23.25 48 "1" "18-295"
"606" 23.25 49 "1" "18-295"
"607" 19.75 34 "1" "18-295"
"608" 23.75 54 "1" "18-295"
"609" 24.75 53 "1" "18-295"
"611" 23.5 52 "1" "18-295"
"612" 15.25 30 "1" "18-295"
"613" 20.25 44 "1" "18-298"
"615" 22.75 56 "1" "18-298"
"617" 23.25 59 "1" "18-298"
"618" 20.25 41 "1" "18-298"
"619" 20.5 47 "1" "18-298"
"620" 21.75 53 "1" "18-298"
"622" 21.25 45 "1" "18-301"
"623" 23.25 57 "1" "18-301"
"624" 19.75 45 "1" "18-301"
"626" 23.25 55 "1" "18-301"
"628" 19.5 43 "1" "18-301"
"629" 22.75 52 "1" "18-301"
"630" 15 31 "1" "18-301"
"631" 23.75 59 "1" "18-309"
"632" 23 60 "1" "18-309"
"633" 21.75 50 "1" "18-309"
"635" 23.25 57 "1" "18-309"
"636" 22.75 54 "1" "18-309"
"640" 24.25 60 "1" "18-317"
"641" 24.75 61 "1" "18-317"
"642" 22.75 52 "1" "18-317"
"644" 24 55 "1" "18-317"
"645" 21.75 47 "1" "18-317"
"646" 23.75 59 "1" "18-317"
"647" 25 62 "1" "18-317"
"648" 24.25 61 "1" "18-317"
"649" 23.25 58 "1" "18-323"
"650" 22.25 51 "1" "18-323"
"651" 23.5 56 "1" "18-323"
"654" 26 68 "1" "18-323"
"655" 25.25 63 "1" "18-323"
"656" 24.75 61 "1" "18-323"
"667" 21.75 56 "1" "18-52"
"668" 21.75 49 "1" "18-52"
"669" 21.75 49 "1" "18-52"
"670" 21.75 54 "1" "18-52"
"671" 21.5 47 "1" "18-52"
"672" 22.25 55 "1" "18-52"
"673" 19.5 39 "1" "18-52"
"674" 21.25 47 "1" "18-52"
"675" 22 49 "1" "18-52"
"676" 17.25 40 "1" "2-6"
"678" 19 49 "1" "2-6"
"679" 18.25 46 "1" "2-6"
"680" 14.25 31 "1" "2-6"
"681" 19 51 "1" "2-6"
"682" 15 33 "1" "2-6"
"683" 15 33 "1" "2-6"
"685" 17 38 "2" "L2-123"
"686" 18.5 46 "2" "L2-123"
"687" 16.5 37 "2" "L2-123"
"689" 17 40 "2" "L2-123"
"690" 16 35 "2" "L2-123"
"693" 13.5 30 "2" "L2-123"
"694" 20.5 36 "2" "1-105"
"695" 21 41 "2" "1-105"
"696" 17.75 30 "2" "1-105"
"697" 18.25 36 "2" "1-105"
"698" 18.5 36 "2" "1-105"
"699" 16.5 31 "2" "1-105"
"701" 21 42 "2" "1-105"
"702" 16 26 "2" "1-105"
"703" 20.75 41 "2" "1-41"
"704" 18.75 37 "2" "1-41"
"705" 19.25 38 "2" "1-41"
"706" 16.75 36 "2" "1-41"
"707" 19 40 "2" "1-41"
"708" 20.75 44 "2" "1-41"
"709" 18.25 35 "2" "1-41"
"710" 20 42 "2" "1-41"
"712" 23 58 "2" "18-181"
"713" 23 58 "2" "18-181"
"714" 24.5 64 "2" "18-181"
"715" 20.75 50 "2" "18-181"
"716" 23.5 56 "2" "18-181"
"717" 16 39 "2" "18-181"
"718" 24 64 "2" "18-181"
"719" 21.75 47 "2" "18-181"
"720" 23.5 63 "2" "18-181"
"721" 24.25 60 "2" "18-182"
"724" 23.25 58 "2" "18-182"
"725" 22.75 58 "2" "18-182"
"726" 16 33 "2" "18-182"
"728" 22.75 54 "2" "18-182"
"729" 24.25 60 "2" "18-182"
"730" 20.75 42 "2" "18-185"
"731" 22.25 49 "2" "18-185"
"732" 16.75 32 "2" "18-185"
"733" 21.75 44 "2" "18-185"
"734" 15.25 29 "2" "18-185"
"735" 20 41 "2" "18-185"
"736" 16.75 30 "2" "18-185"
"737" 17.75 33 "2" "18-185"
"738" 12.75 27 "2" "18-185"
"739" 20.5 41 "2" "18-186"
"740" 19.25 40 "2" "18-186"
"741" 23.5 56 "2" "18-186"
"742" 20.75 45 "2" "18-186"
"743" 22.25 54 "2" "18-186"
"744" 22.5 55 "2" "18-186"
"745" 21.75 48 "2" "18-186"
"746" 20.75 48 "2" "18-186"
"747" 22.25 52 "2" "18-186"
"748" 23.75 53 "2" "18-189"
"750" 22.75 50 "2" "18-189"
"751" 23.25 53 "2" "18-189"
"752" 22.75 49 "2" "18-189"
"753" 22.25 51 "2" "18-189"
"754" 22.25 51 "2" "18-189"
"755" 22.75 50 "2" "18-189"
"756" 21.75 52 "2" "18-189"
"757" 23.25 63 "2" "18-192"
"758" 21 52 "2" "18-192"
"759" 21.75 54 "2" "18-192"
"760" 15.5 32 "2" "18-192"
"761" 22.5 58 "2" "18-192"
"762" 22.75 57 "2" "18-192"
"763" 19.25 44 "2" "18-192"
"764" 22.5 55 "2" "18-192"
"765" 19.5 47 "2" "18-192"
"767" 21.25 43 "2" "18-193"
"769" 19.75 41 "2" "18-193"
"770" 21.75 50 "2" "18-193"
"771" 20.25 42 "2" "18-193"
"773" 20.75 44 "2" "18-193"
"774" 18.25 41 "2" "18-193"
"775" 21.5 48 "2" "18-194"
"776" 22.75 55 "2" "18-194"
"777" 21.75 50 "2" "18-194"
"778" 18 39 "2" "18-194"
"779" 21.25 46 "2" "18-194"
"780" 18.75 40 "2" "18-194"
"781" 21.25 47 "2" "18-194"
"782" 15.75 35 "2" "18-194"
"783" 19.5 46 "2" "18-194"
"785" 19.25 39 "2" "18-195"
"786" 18 34 "2" "18-195"
"787" 18.5 39 "2" "18-195"
"788" 22.75 49 "2" "18-195"
"789" 21.75 41 "2" "18-195"
"790" 22 50 "2" "18-195"
"791" 21.5 48 "2" "18-195"
"792" 22 48 "2" "18-195"
"793" 20.25 43 "2" "18-196"
"794" 20.75 42 "2" "18-196"
"795" 21.25 48 "2" "18-196"
"796" 19.5 38 "2" "18-196"
"797" 22.25 47 "2" "18-196"
"798" 21 48 "2" "18-196"
"799" 22 47 "2" "18-196"
"800" 20.5 42 "2" "18-196"
"801" 20.75 46 "2" "18-196"
"802" 20.5 47 "2" "18-197"
"803" 21.5 52 "2" "18-197"
"804" 21.25 43 "2" "18-197"
"805" 19.75 46 "2" "18-197"
"806" 21.75 50 "2" "18-197"
"807" 21.75 51 "2" "18-197"
"808" 18.5 43 "2" "18-197"
"809" 21.25 46 "2" "18-197"
"810" 21.25 45 "2" "18-197"
"811" 23 44 "2" "18-198"
"812" 22.75 49 "2" "18-198"
"813" 22 44 "2" "18-198"
"814" 22 42 "2" "18-198"
"815" 20.5 38 "2" "18-198"
"816" 22.75 47 "2" "18-198"
"818" 22.75 50 "2" "18-198"
"820" 23.75 56 "2" "18-199"
"821" 13.75 28 "2" "18-199"
"822" 23.25 56 "2" "18-199"
"823" 22.75 48 "2" "18-199"
"824" 22.25 58 "2" "18-199"
"825" 22.25 48 "2" "18-199"
"826" 20.75 39 "2" "18-199"
"827" 19.75 41 "2" "18-199"
"828" 22.25 54 "2" "18-199"
"829" 20 41 "2" "18-200"
"830" 22.5 52 "2" "18-200"
"831" 22 50 "2" "18-200"
"832" 17.75 36 "2" "18-200"
"833" 22.75 49 "2" "18-200"
"834" 23.25 49 "2" "18-200"
"835" 22.25 55 "2" "18-200"
"836" 23.75 54 "2" "18-200"
"837" 23.75 49 "2" "18-200"
"838" 22.5 50 "2" "18-201"
"839" 17.75 35 "2" "18-201"
"840" 24 56 "2" "18-201"
"841" 18.5 38 "2" "18-201"
"842" 23.25 55 "2" "18-201"
"843" 23.5 52 "2" "18-201"
"844" 21.5 46 "2" "18-201"
"845" 23.5 55 "2" "18-201"
"846" 23 50 "2" "18-201"
"848" 22.75 54 "2" "18-202"
"849" 24.75 64 "2" "18-202"
"850" 23.25 55 "2" "18-202"
"851" 23.75 55 "2" "18-202"
"853" 23.75 57 "2" "18-202"
"854" 24.5 60 "2" "18-202"
"855" 18.5 34 "2" "18-202"
"856" 21.5 57 "2" "18-203"
"857" 21.25 49 "2" "18-203"
"858" 23 55 "2" "18-203"
"859" 21 50 "2" "18-203"
"860" 23.75 62 "2" "18-203"
"861" 23 57 "2" "18-203"
"862" 21.25 47 "2" "18-203"
"863" 20 52 "2" "18-203"
"864" 22.25 51 "2" "18-203"
"865" 22.25 51 "2" "18-205"
"866" 23.25 51 "2" "18-205"
"867" 22.75 49 "2" "18-205"
"868" 22.25 50 "2" "18-205"
"869" 23.75 54 "2" "18-205"
"870" 22.25 44 "2" "18-205"
"871" 23.5 53 "2" "18-205"
"872" 24.75 61 "2" "18-205"
"873" 21.75 46 "2" "18-205"
"874" 22.5 52 "2" "18-207"
"875" 21.5 55 "2" "18-207"
"876" 23.25 57 "2" "18-207"
"877" 21 46 "2" "18-207"
"878" 23.5 55 "2" "18-207"
"879" 22.25 53 "2" "18-207"
"880" 22.75 56 "2" "18-207"
"881" 22.5 52 "2" "18-207"
"882" 22.75 58 "2" "18-207"
"886" 20.75 51 "2" "18-208"
"888" 19.25 41 "2" "18-208"
"889" 21.75 48 "2" "18-208"
"890" 23.5 56 "2" "18-208"
"891" 22.25 52 "2" "18-208"
"892" 12.75 27 "2" "18-209"
"893" 25.25 61 "2" "18-209"
"894" 25.25 65 "2" "18-209"
"895" 21.25 48 "2" "18-209"
"896" 23.25 58 "2" "18-209"
"897" 23.75 56 "2" "18-209"
"898" 20.75 51 "2" "18-209"
"900" 24.25 59 "2" "18-209"
"901" 22.75 50 "2" "18-210"
"902" 24.75 54 "2" "18-210"
"903" 22 44 "2" "18-210"
"904" 24.75 57 "2" "18-210"
"905" 24.25 51 "2" "18-210"
"906" 24.75 52 "2" "18-210"
"907" 21.75 44 "2" "18-210"
"908" 23.75 53 "2" "18-210"
"909" 21.25 40 "2" "18-210"
"910" 21.25 49 "2" "18-211"
"912" 24.25 57 "2" "18-211"
"913" 22.25 52 "2" "18-211"
"914" 23 55 "2" "18-211"
"915" 22.5 50 "2" "18-211"
"916" 19.75 45 "2" "18-211"
"918" 23.25 59 "2" "18-211"
"919" 21 42 "2" "18-212"
"920" 23 48 "2" "18-212"
"922" 20 41 "2" "18-212"
"923" 23 49 "2" "18-212"
"924" 22.5 42 "2" "18-212"
"925" 20.25 39 "2" "18-212"
"926" 20 38 "2" "18-212"
"927" 22 45 "2" "18-212"
"928" 22 53 "2" "18-213"
"929" 22.5 56 "2" "18-213"
"930" 22.25 49 "2" "18-213"
"931" 22.25 51 "2" "18-213"
