O3;T6;T12;Ne12;Ne15;Vx;O3v
71.6;6;11.4;7;7;2.5;77
95.4;7.3;13.1;7;7;1.7101;71.6
95.2;3.2;14.4;6;7;0.6428;95.4
81.2;5.4;13.1;7;8;3.5;95.2
71;10.3;13.1;8;8;2.5;81.2
58.6;9.2;8.3;8;8;4.3301;71
43.2;7.7;10.1;8;7;0;58.6
72;10;16.5;7;6;0.866;43.2
86;6.5;12.9;6;5;-5.3623;72
82.8;8.7;13.8;6;3;-0.6428;86
88;8.7;14.1;6;6;-5.6382;82.8
67.2;10;13.4;8;8;-3;88
50;13.1;16.7;7;7;-4.5963;67.2
53.6;12.7;15.8;7;6;-4;50
62.8;12.3;13.5;8;8;0;53.6
64;12.2;13.8;8;8;-3.8567;62.8
71.4;12.1;15.6;7;7;-6.1284;64
68.4;10.7;16.7;7;5;-1.0261;71.4
90.6;11.3;20.7;2;2;-1;68.4
112.6;14.9;26.4;5;5;1.2155;90.6
60.2;13.9;17.6;8;8;-1.7321;112.6
86.8;10.5;17.1;5;6;-3.7588;60.2
81.2;10.9;15.5;7;7;0;86.8
90.2;7.7;18.7;2;1;-2;81.2
90;13.8;21.9;1;1;1;90.2
139;15.7;26.8;1;1;2.2981;90
139.6;18.5;30.8;4;1;0.684;139
130;19.3;30.6;0;1;-0.8682;139.6
94.6;13.3;12.6;8;8;0;130
86.8;9.9;21.4;3;2;-1.5;94.6
80;15.9;22.1;5;6;0;86.8
60;14.2;23.7;2;1;-3.2139;80
78.2;16;18.4;7;2;1.3681;60
121;12.5;22.6;0;0;4.3301;78.2
111.2;14;23.1;2;1;5.1962;121
129.4;15;25.3;5;4;6.8937;111.2
126.8;16.5;27.7;1;1;6;129.4
125;17;27.5;7;3;0.766;126.8
125.8;14.9;26.9;0;1;-2.2981;125
113.8;16.5;27.2;6;7;-1.3681;125.8
64.6;15.9;21.3;6;6;-4.6985;113.8
94.8;14.7;17.2;7;2;2.3941;64.6
98.2;10.5;18.7;3;5;-3.2139;94.8
113.2;10.5;19.4;4;4;2.5;98.2
96.4;10.7;20;6;5;0;113.2
95.6;11.4;21.6;5;5;0.5209;96.4
62.6;12.5;17.1;8;7;-2.5981;95.6
41.8;16.1;20.6;8;8;-0.9397;62.6
72.6;14.7;21.7;7;7;-4.6985;41.8
72;14.7;18.1;7;5;-5.7851;72.6
57.4;13;18.2;8;8;-5.9088;72
69.6;13.7;17.7;7;6;-4.6985;57.4
53.2;13.5;18;7;7;-4.924;69.6
38;14;18.9;8;8;-3.8567;53.2
65;14.2;21;6;5;-6.5778;38
49.4;12.8;18.1;7;7;-2.5981;65
58.2;10;18.5;7;8;-4.6985;49.4
73.6;10.6;17.6;6;5;0;58.2
62;12.1;19.6;6;4;-2.0521;73.6
56;11.1;19.2;7;8;-4.924;62
70.8;15.5;20.5;5;2;-2.0521;56
73;14.2;17.4;8;1;-1.7321;70.8
54.8;13;18.6;7;7;1.0261;73
33.6;17.3;21;7;7;-1.5321;54.8
57.2;17;23.1;3;1;-0.3473;33.6
96.4;17.7;24.4;6;6;3.4641;57.2
105.6;15.4;24.5;0;0;6.5778;96.4
114.4;15.3;25.9;0;0;4.924;105.6
119.8;15.2;27.2;2;0;4.6985;114.4
126.2;15.2;26.9;2;1;3.9392;119.8
151.4;14.1;29.2;1;1;1.2856;126.2
143.2;14.8;31.3;1;1;1.9696;151.4
134.4;18.2;32.2;1;1;3.0642;143.2
117.8;16.7;25.7;2;5;-4.924;134.4
69;16;22.1;5;3;-1.7101;117.8
103.6;12.5;24.6;5;3;2.8191;69
127.8;13.5;25.5;3;3;3.8302;103.6
67.2;16.3;22.4;6;7;0.8682;127.8
46.2;14.4;22.7;7;7;-2.5981;67.2
65.6;17.7;24.2;6;6;-3.9392;46.2
66.8;17.1;21;7;5;-1.9696;65.6
56.4;12.6;21;8;4;-4.3301;66.8
69.2;17;21.6;5;7;-4.5963;56.4
61.6;13.4;19.4;7;7;-2.0521;69.2
104.8;10.3;22.7;5;3;2.5712;61.6
131;14.5;26.4;0;2;4.6985;104.8
108.6;14.3;26.9;7;7;-2.0521;131
77.6;17.4;21.6;2;2;-4.3301;108.6
73.6;8.9;20.4;3;2;-0.5209;77.6
89.4;9.8;24.7;2;6;-2.5;73.6
48;16.9;18.7;8;7;-0.8682;89.4
63.6;16.8;20.8;7;6;-3.8302;48
63;14.5;19.8;6;6;-4.5963;63.6
77;13.2;20.2;6;4;-0.8682;63
106.8;14.8;22.3;4;3;-1.0261;77
106.6;12.4;23.6;4;1;1.3681;106.8
106.4;13.5;20.5;4;1;1.7321;106.6
118.6;13.2;27.2;2;3;0.866;106.4
134.2;13.5;29.5;2;1;0.5209;118.6
143;17;29.6;0;0;2;134.2
131.2;16.1;31.6;2;6;2.5981;143
93.6;17.5;22.2;7;7;0;131.2
64.8;13.9;21.7;6;5;-2;93.6
71.8;11.6;23.1;6;6;-3.5;64.8
60;18.1;21.4;5;4;-6.0622;71.8
67.2;14;21.7;7;6;-6.8937;60
79.2;13.4;20.2;4;5;-3.9392;67.2
61.2;10.1;20.3;4;6;-2.5981;79.2
60.4;11.2;18.3;6;6;3.8567;61.2
87.4;11.6;17.9;7;3;-2;60.4
75;12.6;18.9;7;6;-2.0521;87.4
64.8;11.7;18.3;6;7;0;75
74.4;11;20.5;5;5;0;64.8
87.8;8.4;19.7;5;5;2.5981;74.4
96;8.5;21.1;2;3;2.5712;87.8
102.8;8.7;20.7;4;1;3.8302;96
112.6;12.2;24.7;0;1;5.6382;102.8
99.6;12.8;22.3;0;0;0.5209;112.6
110.2;9.6;23.8;0;0;1.7321;99.6
103.8;9.2;21.8;0;0;4.6985;110.2
96.8;8.6;19;6;2;7.8785;103.8
78.8;12.9;19.1;2;3;3;96.8
57.2;13.1;17.3;8;6;2.5;78.8
74.4;11.8;18.7;7;8;4.6985;57.2
67;7;17.5;7;7;1.2155;74.4
66.8;7.4;16.9;1;1;1.0419;67
78.8;5.3;18.4;5;1;3.2139;66.8
89.6;5.9;20.7;1;0;3.4641;78.8
94.2;9.7;20.9;0;0;5.1962;89.6
100;9.8;21.6;2;2;6;94.2
90.4;10.3;17.9;6;7;5;100
45.6;10.3;14.3;8;7;3.8567;90.4
36.8;11.1;12.3;8;6;0.5;45.6
89.2;8.6;17.8;4;5;4.6985;36.8
72.2;12.3;14;7;7;0;89.2
66.4;9;18;7;7;-1.5321;72.2
83;5.4;19.3;5;8;-0.684;66.4
78.6;12.2;17.5;7;5;-0.5209;83
44.4;10.5;17;8;8;-3.2139;78.6
62.8;12.9;19.6;5;3;-5.6382;44.4
64;11.2;18.8;6;7;-2.5981;62.8
53.4;13.6;20.1;8;8;-4.5963;64
60;16.3;17.4;8;8;-3;53.4
99.4;5.1;20.7;5;5;-0.3473;81.8
115.8;5.2;21.6;0;0;2.5981;99.4
127.4;4.3;19.8;0;0;1.7101;115.8
91.6;4.1;12.3;2;1;4.6985;127.4
89;3.1;12.9;3;1;5.1962;91.6
90.8;3.5;16.3;0;0;5;89
96.8;7.8;16.5;0;0;5.1962;90.8
84;4.1;13.1;0;0;5.1962;96.8
89.8;6.2;14.2;2;2;6.5778;84
108.6;4.7;15.8;0;0;6.8937;89.8
90;5.3;12;7;7;4.6985;108.6
103.8;2.8;10.9;0;0;8.4572;90
97.8;1.7;11.8;0;0;1.7101;103.8
104.2;0;13.6;1;5;0.9848;97.8
96;1.7;15.2;3;4;-2.5981;104.2
82.6;3.8;17.9;6;5;-1.7101;96
62;8.8;12.6;8;8;-2.5712;82.6
65.8;10.8;16.1;6;7;-6.0622;62
64.4;10;15.1;7;4;-3.8567;65.8
61.4;13.7;17;8;8;-6.9282;64.4
70;11.2;15.8;7;6;-3.5;61.4
86.4;7.2;19.5;3;2;3;70
72.6;10.2;19.2;3;4;-1.9284;76.2
79.2;10.9;22.6;7;5;2.2981;72.6
80;17.7;21;7;6;3.2139;79.2
73.4;16.6;24.7;6;4;0;80
55.4;17;20.1;7;6;-6.9282;73.4
58.2;15.6;18.4;6;3;-4.924;55.4
70.2;12.8;21.2;7;6;2.5981;58.2
81.6;18.5;19.9;8;7;4.3301;70.2
73;16.2;17.6;8;6;-1.9284;81.6
96;15.9;20.8;7;6;-4.924;73
97.8;15.9;17.6;8;8;-3.4641;96
67.6;13.8;19.1;7;7;-4;97.8
59.8;13;19.8;7;5;-0.3473;67.6
63.8;14.1;20.2;7;7;-1.9284;59.8
68.4;13.6;19.1;7;6;2.5712;63.8
72.8;9.8;21.4;1;8;-0.9848;68.4
62.6;12.2;16.4;8;8;-4.6985;72.8
57.6;12.4;14.9;8;8;-4.4995;62.6
57.4;13;14;6;5;-5;57.6
62.2;11.4;15.6;7;7;-6.9282;57.4
74.4;12.7;15.3;8;7;-6.1284;62.2
70.2;13.2;17.7;8;7;-2.2981;74.4
75.4;12.4;14.6;8;7;-3.0782;70.2
61.8;10.8;18.5;5;7;-5.6382;51.6
60.6;11.7;14.1;7;7;-3.4641;61.8
76.4;11.1;17;7;7;-4.6985;60.6
92.4;13.2;19.6;5;3;-1.3681;76.4
99.2;10.8;21.2;1;1;-1;92.4
87.4;12.2;24.8;3;5;1.5;99.2
96.2;15.2;26;2;3;4.6985;87.4
89.4;17;25;1;2;5.6382;96.2
100.2;16.3;23.2;1;1;-1.0261;89.4
94.6;14.2;22.8;6;8;-1.2856;100.2
71.4;15.9;22.6;3;7;-1.9696;94.6
76.8;15.8;24;6;7;-3;71.4
67.8;15.3;19.8;6;5;-1.0261;76.8
65.6;13.1;23.5;7;7;-2.5981;67.8
67.4;16.7;20.6;5;4;0.6946;65.6
66.8;15.7;19.7;7;6;-3.8302;67.4
80.2;14.6;20.3;5;4;-0.8682;66.8
99.2;12.9;22.8;4;3;1.9284;80.2
99;12.1;23.9;6;6;3.7588;99.2
98.6;13.9;24.2;3;3;3.7588;99
109.2;13.4;26.3;4;3;4.6985;98.6
135.6;14.2;26.7;5;3;0.5209;109.2
124.8;13.2;24.5;7;8;-4.6985;135.6
40.2;15.1;21.1;8;7;-4.3301;124.8
39.4;16.5;23;7;7;-3.4641;40.2
74.8;18.2;23;5;3;-1.9284;39.4
90.2;13;24.7;3;5;-0.684;74.8
112;14.5;28.4;2;6;1.0261;90.2
77.2;15.3;21.8;6;3;0.6946;112
67;12.2;20.8;7;6;-2.5712;77.2
74.6;13.2;21.5;2;1;-2.2981;67
37.4;18.2;21.7;7;8;1;74.6
88.8;18.3;27.6;5;6;1.8794;37.4
71.2;17.4;23.2;7;7;-1.0261;88.8
49.8;18.4;23.1;7;7;-1.9696;71.2
87.4;16.7;24.8;3;3;-1.9696;49.8
82.6;19.6;24.1;8;4;0.684;87.4
114.6;16.6;26.8;1;3;0.684;82.6
121.8;17.3;29.1;5;6;1.8794;114.6
142.8;17.5;31.4;7;7;4.6985;121.8
95.4;19.5;21.8;8;6;-3.0642;142.8
131.8;16.5;25.8;3;4;-0.5;95.4
84;17.4;25.2;3;1;-2.8191;131.8
102.6;15.7;26.5;1;2;-0.9397;84
134.4;18;28.5;7;2;3.9392;102.6
119.4;18.8;28.7;5;6;0;134.4
87.6;17.5;21;8;7;-0.866;119.4
108;17.1;25.1;3;5;1.2856;87.6
114;18.4;27;7;3;-0.342;108
113.8;19.4;29.4;2;4;0.866;114
83;17.1;24.6;3;2;-1.5321;113.8
122;16;26.2;2;3;-1;83
89.8;19;24;5;1;-2;122
92.8;18.5;26.1;7;7;-0.766;89.8
61.6;18.6;19.4;7;7;-0.5209;92.8
74.6;12.1;20.9;6;7;0.1736;61.6
55.8;16.9;17.5;7;5;-1.9284;74.6
59.6;13.3;16.8;7;5;-7.5175;55.8
56.4;13.9;20.9;6;7;-6.8937;59.6
44.8;18.8;20.3;8;6;-4.924;56.4
70.6;17.7;23.5;4;4;-6.0622;44.8
62.2;12.5;19.6;7;4;-0.342;70.6
62.6;10.5;21.5;3;4;-3.7588;62.2
65.8;12.1;22.6;6;6;-2.5;62.6
52;17.9;17.1;8;7;-0.8682;65.8
57;12.4;18.6;7;7;0;52
69;9.4;19.4;4;4;-2;57
61;10;19.2;7;7;-0.342;69
61;11.5;19;8;1;0.5209;61
60.2;10.1;17.7;8;2;2.5712;61
83.8;10;21.4;1;0;4.924;60.2
90.4;10.4;22.2;4;3;-4;83.8
60.8;14.6;18;7;7;-3.2139;90.4
62.6;8.5;16.8;4;4;0;60.8
74;7.6;17.9;6;1;1.9696;62.6
82;6.5;20.3;4;6;2.8191;74
98.4;6.4;23.1;6;7;0;82
115.4;8.1;24.8;1;1;0.684;98.4
111.4;12.9;28.2;1;1;-2;115.4
129;13.1;28.9;1;1;2.2981;111.4
118.6;16.9;25.4;1;1;6;129
106.6;12.6;23.1;1;3;2.5981;118.6
111.6;14.6;22.5;6;1;1.2856;106.6
128.2;11.4;23.6;1;1;3.7588;111.6
121.6;9;24.6;1;3;4.924;128.2
118.6;9.6;23.5;0;1;2.8191;121.6
122.4;9.5;23.4;0;2;1.5321;118.6
139.8;8.1;22.3;6;6;-0.684;122.4
132;13.9;19.3;0;1;0.684;139.8
140.8;9.6;25.9;4;1;0.9397;132
121.8;10.9;24.3;0;0;0;140.8
86.4;10.2;13.8;5;6;-7.7942;90
85.2;7;13.4;6;5;-8.4265;86.4
89;6.9;13;6;6;-4.3301;85.2
89.4;6;14.2;5;7;-5;89
89.4;4;12.5;4;6;-2.5981;89.4
89.8;4.6;7.5;6;6;-1.2856;89.4
59.8;4.8;5.7;8;8;-0.5209;89.8
72.4;5.2;8.1;7;7;-2.3941;59.8
85;2.4;6.6;6;6;0.8682;72.4
86.4;3.9;8.1;5;3;-5.3623;74.4
80.2;4.3;8.3;8;6;2.7362;86.4
75.8;4.1;7.8;8;7;-5;80.2
91.2;3.9;9.6;7;7;-1.0261;75.8
90.8;5.7;10.7;8;7;0;91.2
94.2;7.8;13.2;7;7;-3.9392;90.8
80.4;7.9;16.7;4;7;-0.8682;94.2
68.2;8.7;19;5;6;0;80.4
71;9.9;12;8;6;-3.0782;68.2
86.2;9.7;14.2;8;8;-4.5963;71
94.8;12.4;12.9;8;8;-3;86.2
86.8;9;11.9;7;6;-2;94.8
85.6;5.3;13.6;6;7;-1.7321;86.8
84.6;5.6;14.5;6;6;-1.7101;85.6
79.4;9.2;12.7;7;8;2;79.6
84;7.1;11;8;7;3.5;79.4
106.6;7.3;13;3;3;3.5;84
96;8.3;15.6;2;3;-3.2139;106.6
74.2;10.9;14.3;7;7;-5.6382;96
105;11.6;17.6;4;2;-2.5;74.2
115.4;12;23.8;5;7;2.5712;105
106.4;13.3;19.8;5;7;-1.5321;115.4
109.8;11.6;24.2;5;6;2.5981;106.4
121.8;16.4;26;2;1;0.6946;109.8
115.4;15.3;25.1;2;6;-1.7321;121.8
108.8;13.2;24.9;6;7;-0.766;115.4
120;12.7;21.3;0;0;2;108.8
133.8;15.1;25.5;0;1;-0.5209;120
144.4;11.2;24.4;0;1;2.5712;133.8
142.8;11.3;23.7;1;2;3.9392;144.4
116.2;12;24.9;2;2;5;142.8
136.6;11.9;25.3;3;3;6;116.2
145.8;11.6;23;5;5;2.5;136.6
117.6;12;23.5;1;2;1.2155;145.8
96.8;11.5;17.2;3;4;3.8567;117.6
107;10.1;18.2;5;5;3.8567;96.8
92.8;12.4;17;7;5;0;107
80.8;9.5;17.5;6;7;-1.8794;92.8
81.4;11.4;18.4;7;7;-4;80.8
80;10.7;15.9;6;7;-1.5321;81.4
86.8;10.1;18;6;5;-0.9397;80
92.2;8.6;14.1;7;7;-4;86.8
85;13.8;17;8;7;1.0261;92.2
87.2;10.7;18;6;6;-2.0521;85
60.4;11.1;14.8;7;7;4.3301;87.2
88.6;14.7;18.7;5;3;-4.3301;60.4
95.4;14.3;18.7;5;6;-6.9282;88.6
101.4;11.3;21.2;6;7;1.8794;95.4
79.6;15.7;20.8;8;8;1.8794;101.4
99;15.9;20.8;6;5;-4.3301;79.6
84.6;12.9;18.8;6;5;-6.5778;99
79.8;14.2;18.8;8;8;-4.4995;84.6
63;16.4;20.4;7;8;-6.1284;79.8
69.2;13.4;18.4;5;6;-6.1284;63
66.2;10.8;11.9;6;7;-5;69.2
67.4;9.4;15.2;7;7;-6.0622;66.2
67.4;11.5;14.9;8;7;-2.7362;67.4
70.2;12.3;17.3;7;7;-4.924;67.4
85.8;12.6;15;7;3;-5.3623;70.2
84.6;9.4;18.3;4;5;-3;85.8
104;9.8;19.6;6;6;-3;84.6
91.4;13.3;21.2;4;2;-2.8191;104
115.2;14.8;27.3;5;6;2;91.4
151.2;18.8;32.7;5;5;2.0521;115.2
106.8;16.9;20.3;7;6;-0.6428;151.2
85.6;13.8;20.8;6;6;-2.8191;106.8
92.6;12.4;21.8;5;5;-1.9696;85.6
88.4;14.2;23.2;4;4;-2;92.6
72.6;13.9;20.3;6;6;-3.9392;88.4
69.2;13.6;19.7;7;7;-4.5963;72.6
65.8;16;16.1;8;6;-3.0642;69.2
68.4;12.1;18.7;6;6;-3.9392;65.8
58.4;12.2;17.3;8;8;-3.0642;68.4
40.2;14.5;19.6;8;7;-3.4641;58.4
83.8;15;19.8;8;8;4.924;40.2
66.8;14.8;16;8;8;4.6985;83.8
89.4;14.5;17.8;7;6;2.0521;66.8
81.6;12.4;18.6;8;4;-1.5;89.4
58.6;10.7;17.1;8;8;-2.8191;81.6
